,Path,Canonical,Transcript,Speaker,L1
10,L2_arctic_WAV/ABA_arctic_a0020,k l ah b z ah n d b ao l z ah n d s ih t iy z g r uw t uw b iy ow n l iy m eh m er iy z,k l ah b z ah n d b ao l z ah n d s ih t iy z g r ao t uw b iy ow n l iy m eh m r iy z,ABA,Arabic
11,L2_arctic_WAV/ABA_arctic_a0021,ih t f eh r l iy k l ah b d m iy ih n t uw r eh k ah g n ay z ih ng ih t,ih t f eh r l iy k l ah b d m iy ih n t uw err eh k ah g n ay z ih ng k ih t,ABA,Arabic
12,L2_arctic_WAV/ABA_arctic_a0022,hh aa r d l iy w er aw r p l ae n z m ey d p ah b l ih k b iy f ao r w iy w er m eh t b ay p aw er f ah l aa p ah z ih sh ah n,hh aa err d l iy w eh r aw r p l ae n z m ey d p ah b l ih k b iy f ao r w iy w eh r m eh t b ay p aw er f ah l aa p ah z ih sh ah n,ABA,Arabic
13,L2_arctic_WAV/ABA_arctic_a0023,ah k aa m b ah n ey sh ah n ah v k ah n ey d iy ah n k ae p ih t ah l k w ih k l iy ao r g ah n ay z d ah n d p ah t ih sh ah n d f ao r dh ah s ey m p r ih v l ih jh ih z,ah k aa m b ah n ey sh ah n ah v k ah n ey d iy ah n k ae p ih t ah l k w ih k l iy ao r g ah n ay z d ah n d p ah t ih sh ah n d f ao r dh ah s ey m p r ih v l ih jh ih z,ABA,Arabic
14,L2_arctic_WAV/ABA_arctic_a0024,ih t w ao z m ay r ih p ao r t s f r ah m dh ah n ao r th hh w ih ch ch iy f l iy ih n d uw s t p iy p ah l t uw b ay,ih t w ao z m ay r ih p ao r t s f r ah m dh ah n ao r th hh w ih ch ch iy f l iy ih n d uw s t p iy p ah l t uw b ay,ABA,Arabic
15,L2_arctic_WAV/ABA_arctic_a0025,ay w ao z ah b aw t t uw d uw dh ih s w eh n k uw l er jh ah jh m ah n t p r iy v ey l d,ay w ao z ah b aw t t uw d uw dh ih s w eh n k uw l er jh ah jh m ah n t b r iy v ey l d,ABA,Arabic
16,L2_arctic_WAV/ABA_arctic_a0026,ih t ah k er d t uw m iy dh ae t dh eh r w uh d hh ae v t uw b iy ae n ah k aw n t ih ng,ih t ow k er d t uw m iy dh ae t dh eh r w uh d hh ae v t uw b iy ae n ah k aw n t ih ng,ABA,Arabic
17,L2_arctic_WAV/ABA_arctic_a0027,t uw m ay s er p r ay z hh iy b iy g ae n t uw sh ow ae k sh ah l ih n th uw z iy ae z ah m ih n m ay f ey v er,t uw m ay s er p r ay z hh iy b iy g ae n t uw sh ow ae k sh ah l ih n s uw s iy ae z ah m ih n m ay f ey v ah,ABA,Arabic
18,L2_arctic_WAV/ABA_arctic_a0028,r aa b er iy b r ay b er iy f r ao d,r aa b er iy p r ay b er iy f uw t,ABA,Arabic
19,L2_arctic_WAV/ABA_arctic_a0029,dh eh r f ao r s ih z w er ao r eh d iy m uw v ih ng ih n t uw dh ah n ao r th k ah n t r iy,dh ih eh r f ao s ih z w eh r ao r eh d iy m uw v ih ng k ih n t uw dh ah n ao r th k ah n t r iy,ABA,Arabic
20,L2_arctic_WAV/ABA_arctic_a0030,ay hh ae d f ey th ih n dh eh m,ay hh ae d f ey th ih n dh eh m,ABA,Arabic
21,L2_arctic_WAV/ABA_arctic_a0031,dh ey w er th r iy hh ah n d r ih d y aa r d z ah p aa r t,dh ey w iy er th err iy hh ah n d r ih d y aa err d z ah p aa r t,ABA,Arabic
22,L2_arctic_WAV/ABA_arctic_a0032,s ih n s dh eh n s ah m m ih s t ih r iy ah s f ao r s hh ae z b ih n f ay t ih ng ah s ae t eh v r iy s t eh p,s ih n s dh eh n s ah m m ay s t r eh s f ao r s hh ae z b ih n f ay t ih ng k ah s ae t eh v r iy s t eh p,ABA,Arabic
23,L2_arctic_WAV/ABA_arctic_a0036,sh iy t er n d ih n ae t dh ah hh ow t eh l,sh iy t er n d ih n ae t dh ah hh ow t eh l,ABA,Arabic
24,L2_arctic_WAV/ABA_arctic_a0037,ay w ah z dh ah ow n l iy w ah n hh uw r iy m ey n d s ih t ih ng,ay w ah z z ah ow n l iy w ah n hh uw r iy m ey n d s ih t ih ng k,ABA,Arabic
25,L2_arctic_WAV/ABA_arctic_a0038,w iy w ih l hh ae v t ah w ao ch aw r ch ae n s ih z,w iy w ih l hh ae v t ah w ao ch aw r ch ae n s ih z,ABA,Arabic
26,L2_arctic_WAV/ABA_arctic_a0039,dh ah sh ih p sh uh d b iy ih n w ih th ih n ah w iy k ao r t eh n d ey z,dh ah sh ih p sh uh d b iy ih n w ih th ih n ah w iy k ao r t ih n d ey z,ABA,Arabic
27,L2_arctic_WAV/ABA_arctic_a0040,ay s ah p ow z y uw w ah n d er hh w ay sh iy ih z k ah m ih ng ah p hh iy r,ay s ah b ow z y uw w ah n d er hh w ay sh iy ih z k ah m ih ng ah p hh iy r,ABA,Arabic
28,L2_arctic_WAV/ABA_arctic_a0041,m iy n w ay l ay l g ow aw t t uw b r iy dh ah s p eh l,m iy n w ay l ay l g ow aw t t uw p r iy dh ah s p eh l,ABA,Arabic
29,L2_arctic_WAV/ABA_arctic_a0042,hh aw k uh d hh iy ih k s p l ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch,hh aw k uh d hh iy ih k s b l ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch,ABA,Arabic
30,L2_arctic_WAV/ABA_arctic_a0045,hh iy m uw v d ah w ey ae z k w ay ah t l iy ae z hh iy hh ae d k ah m,hh iy m uw v d ah w ey ae z k w ay ah t l iy ae z hh iy hh ae d k ah m,ABA,Arabic
31,L2_arctic_WAV/ABA_arctic_a0046,dh ah g er l f ey s t hh ih m hh er ay z sh ay n ih ng w ih dh s ah d ah n f ih r,dh ah g er l f ey s t hh ih m hh r ay z sh ay n ih ng k w ih dh s ah d ah n f ih r,ABA,Arabic
32,L2_arctic_WAV/ABA_arctic_a0047,k l ow s b ih s ay d hh ih m g l iy m d dh ah w ay t f ae ng z ah v dh ah w uh l f d ao g,k l ow z b ih s ay d hh ih m g l iy m d dh ah w ay t f ae ng z ah v dh ah w ao l f d ow g,ABA,Arabic
33,L2_arctic_WAV/ABA_arctic_a0048,hh iy l uh k t ae t dh ah hh ae ng k er ch iy f m ao r k l ow s l iy,hh iy l uh k t ae t dh ah hh ae ng d k er sh iy f m ao r g l ow z l iy,ABA,Arabic
34,L2_arctic_WAV/ABA_arctic_a0051,dh ah l ey s w ao z ah v ah d eh l ah k ah t ay v er iy k ah l er f ey n t l iy t ih n t ih d w ih dh y eh l ow,dh ah l ey s w ao z ah v ah d eh l ah k ah t ih v ao r iy k ah l er f ey n t l iy t ih n t ih d w ih dh y ey l ow,ABA,Arabic
35,L2_arctic_WAV/ABA_arctic_a0052,ih t w ao z ah k y uh r iy ah s k ow ih n s ih d ah n s,ih t w ao z ah k y uh r iy ah s k ow ih n s ih d ah n s,ABA,Arabic
36,L2_arctic_WAV/ABA_arctic_a0053,s ah d ah n l iy hh ih z f ih ng g er z k l ow z d t ay t l iy ow v er dh ah hh ae ng k er ch iy f,s ah d ah n l iy hh ih z f ih ng g er z k l ow z d t ay t l iy ow v er err dh ah hh ae n t k er ch iy f,ABA,Arabic
37,L2_arctic_WAV/ABA_arctic_a0054,dh eh r w ao z n ah th ih ng ao n dh ah r aa k,dh eh r w ao z n ah s ih ng k ao n dh ah r ow k,ABA,Arabic
38,L2_arctic_WAV/ABA_arctic_a0058,ay k ey m f ao r ih n f er m ey sh ah n m ao r aw t ah v k y uh r iy aa s ah t iy dh ae n eh n iy th ih ng eh l s,ay k ey m f ao ih n f er m ey sh ah n m ao r aw t ah v k y uh err iy eh s ah t iy dh ae n eh n iy th ih ng g eh l s,ABA,Arabic
39,L2_arctic_WAV/ABA_arctic_a0059,hh ih z ih m ae k y uw l ih t ah p ih r ah n s w ao z g ao n,hh ih z ih m ae k y uw l ey t ah b ih r ah n s w ao z g ao n,ABA,Arabic
40,L2_arctic_WAV/ABA_arctic_a0060,eh n iy w ey n ow w ah n s ao hh er l ay k dh ae t,eh n iy w ey n ow w ah n s ao hh eh r l ay k dh ae t,ABA,Arabic
41,L2_arctic_WAV/ABA_arctic_a0062,dh ah m eh n s t eh r d ih n t uw iy ch ah dh er z f ey s,dh ah m eh n s err eh r d ih n t uw iy ch ah dh err z f ey s,ABA,Arabic
42,L2_arctic_WAV/ABA_arctic_a0063,y eh s ih t w ao z ah m ae n hh uw ae s k t ah s t r ey n jh er,y eh s ih t w ao z ah m ae n hh uw ae s k ah t ah s t r ey n jh er,ABA,Arabic
43,L2_arctic_WAV/ABA_arctic_a0064,dh ah f ao r th ah n d f ih f th d ey z p ae s t w ih dh aw t eh n iy d ih v eh l ah p m ah n t s,dh ah f ao r th ah n d f ih f th d ey z b ae s t w ih dh aw t eh n iy d ih v eh l ah p m ah n t s,ABA,Arabic
44,L2_arctic_WAV/ABA_arctic_a0065,dh ey k l ow z d n aw ah n t ih l hh ih z f ih ng g er z w er l ay k k ao r d z ah v s t iy l,dh ey k l ow z d n aw ah n t ih err hh ih z f ih ng g er z w er l ay k k ao r d s ah v ah s t iy l,ABA,Arabic
45,L2_arctic_WAV/ABA_arctic_a0067,sh uh r l iy ay w ih l ih k s k y uw z y uw sh iy k r ay d,sh uh r l iy ay w ih l ih k s ah k y uw z y uw sh iy k err ay d,ABA,Arabic
46,L2_arctic_WAV/ABA_arctic_a0071,w ah t w ao z dh ah aa b jh eh k t ah v y uh r l ih t ah l s eh n s ey sh ah n,w ah t w ao z dh ah aa b zh eh k t ah v y uh err l ih t ah err s eh n s ey sh ah n,ABA,Arabic
47,L2_arctic_WAV/ABA_arctic_a0073,dh ah p r ah m ow t er z ay z w er hh eh v iy w ih dh l ih t ah l p ah f iy b ae g z ah n d er dh eh m,dh ah b r uw m iy t er z ay z w er hh eh v iy w ih dh l ih t ah err p ah f iy b aa g s ah n d r dh eh m,ABA,Arabic
48,L2_arctic_WAV/ABA_arctic_a0075,dh eh r hh ae z b ih n ah ch ey n jh sh iy ih n t er ah p t ih d hh ih m,dh eh hh ae z b ih n ah ch ey n jh sh iy ih n d er ah p t ih d hh ih m,ABA,Arabic
49,L2_arctic_WAV/ABA_arctic_a0076,dh ah g r ey ay z f aa l t er d dh ah f l ah sh d iy p ah n d,dh ah g r ey ay z f eh l t er d dh ah f l ah sh d iy b ah n d,ABA,Arabic
50,L2_arctic_WAV/ABA_arctic_a0077,ih t ih z dh ah f ay r p aa r t l iy sh iy s eh d,ih t ih z dh ah f ay r p aa r t l iy sh iy s eh d,ABA,Arabic
51,L2_arctic_WAV/ABA_arctic_a0078,dh eh n ah n d ae t s ah p er hh iy t r ay d t uw f ae dh ah m hh er,dh eh n ah n d ae t s ah p er hh iy t r oy d t uw f ae th ah m hh err,ABA,Arabic
52,L2_arctic_WAV/ABA_arctic_a0079,ih t w ao z ah l aa r jh k ah n uw,ih t w ao z ah l aa r zh k ae n uw,ABA,Arabic
53,L2_arctic_WAV/ABA_arctic_a0081,w ah t ih f sh iy d ih d n aa t k ah m t uw dh ah r aa k,w ah t ih f sh iy d ih d n t k ah m t uw dh ah r ow k,ABA,Arabic
54,L2_arctic_WAV/ABA_arctic_a0082,hh ih z f ey s w ao z s t r iy m ih ng w ih dh b l ah d,hh ih z f ey s w ao z s t r iy m ih ng k w ih dh b l ah t,ABA,Arabic
55,L2_arctic_WAV/ABA_arctic_a0085,ah t r ih k ah l ah v f r eh sh b l ah d r ae n ow v er hh ih z f ey s,ah t r ih k ah err ah v f r eh sh b l ah d ah r ae n ow v er hh ih z f ey s,ABA,Arabic
56,L2_arctic_WAV/ABA_arctic_a0086,d eh th hh ae d k ah m w ih th t eh r ah b ah l s ah d ah n n ah s,d eh th hh ae d k ah m w ih th t eh r ah p ah err s ah d ah n n ah s,ABA,Arabic
57,L2_arctic_WAV/ABA_arctic_a0088,hh iy m ey d sh uh r dh ae t dh ah m ae g ah z iy n w ao z l ow d ah d ah n d r iy z uw m d hh ih z p ae d l ih ng,hh iy m ey d sh uh r dh ae t dh ah m ae g ah z iy n w ao z l ow d ah d ah n d r iy s y uw m d hh ih s b ae d l ih ng k,ABA,Arabic
58,L2_arctic_WAV/ABA_arctic_a0089,dh ah n ay t g l ow w ao z t r eh ch er ah s t uw sh uw t b ay,dh ah n ay t g l uw w ao z t r eh ch r ah s t uw sh uh t b ay,ABA,Arabic
59,L2_arctic_WAV/ABA_arctic_a0090,dh ah s ih ng ih ng v oy s ah p r ow ch t r ae p ah d l iy,dh ah s ih ng ih ng g v oy s ah p r ow ch ah t r ae b ah d l iy,ABA,Arabic
60,L2_arctic_WAV/ABA_arctic_a0091,hh ih z b l ah d g r uw hh aa t w ih dh r ey jh ae t dh ah th ao t,hh ih z b l ah d g r uw hh aa t w aa dh r ey jh ae t dh ah th ow t,ABA,Arabic
61,L2_arctic_WAV/ABA_arctic_a0092,hh iy w eh n t d aw n ih n m ih d s t r iy m s er ch ih ng dh ah sh ae d ow z ah v b ow th sh ao r z,hh iy w eh n t ah d aw ah n ih n m ih d ah s t r iy m s er sh ih ng k dh ah sh ae d ow z ah v p ow th sh ao s,ABA,Arabic
62,L2_arctic_WAV/ABA_arctic_a0093,f ao r ah f uh l m ih n ah t hh iy k r aw ch t ah n d l ih s ah n d,f ao r ah f uh l m ih n ah t hh iy k r ow ch ah t ah n d l ih s ah n d,ABA,Arabic
63,L2_arctic_WAV/ABA_arctic_a0094,hh iy hh ae d b eh r l iy eh n t er d dh ih s w ih n hh iy s ao dh ah g l ow ah v ah f ay er,hh iy hh ae d p eh r l iy eh n t er d dh ih s w ih n hh iy s ow dh ah g l ow ah v ah f ay ah,ABA,Arabic
64,L2_arctic_WAV/ABA_arctic_a0095,ah b ih g k ae n v ah s t eh n t w ao z dh ah f er s t th ih ng t uw k ah m w ih th ih n hh ih z v ih zh ah n,ah b ih g k ae n v ah s t eh n t w ao z dh ah f er s t th ih ng k t uw k ah m w ih th ih n hh ih z v ih zh ah n,ABA,Arabic
65,L2_arctic_WAV/ABA_arctic_a0096,p er hh ae p s sh iy hh ae d ao l r eh d iy m eh t hh er f ey t ah l ih t ah l d iy p er ih n dh ah f ao r ah s t,p r eh hh ae p s sh iy hh ae d ao l r eh d iy m eh t hh err f ey t ah l ih t ah err d iy p ah ih n dh ah f ao r s t,ABA,Arabic
66,L2_arctic_WAV/ABA_arctic_a0097,dh eh n y uw k ae n er ey n jh y er s eh l f k ah m f er t ah b l iy ah m ah ng dh iy z r ow b z ih n dh ah b ow,dh eh n y uw k ae n er ey n ch y er s eh l f k ah m f er t ah b l iy ah m ah ng k dh iy z r ow p s ih n dh ah b ow,ABA,Arabic
67,L2_arctic_WAV/ABA_arctic_a0098,sh ae l ay k ae r iy y uw,sh ae l ay k ae r iy y uw,ABA,Arabic
68,L2_arctic_WAV/ABA_arctic_a0099,ah m ae d ah n ih ng jh oy p aw n d ih d ih n hh ih z b r ey n,ah m eh d ah n ih ng zh oy b aw n d ih d ih n hh ih z p r ey n,ABA,Arabic
69,L2_arctic_WAV/ABA_arctic_a0100,y uw m ah s t s l iy p hh iy er jh d,y uw m ah s ah s l iy p hh iy er zh d,ABA,Arabic
70,L2_arctic_WAV/ABA_arctic_a0101,y uw y uw w uh d ah n t k iy p dh ah t r uw th f r ah m m iy,y uw y uw w uh d ah n t ah k iy p dh ah d r uw th f r ow m m iy,ABA,Arabic
71,L2_arctic_WAV/ABA_arctic_a0102,hh iy w ih l f aa l ow ah s s uw n,hh iy w ih err f ow l ow ah s s uw n,ABA,Arabic
72,L2_arctic_WAV/ABA_arctic_a0103,b ah t dh eh r k ey m n ow p r aa m ah s f r ah m dh ah b ow ah v dh ah k ah n uw,b ah t dh ih eh r k ey m n ow p r ow m ah s f r ah m dh ah p ow ah v dh ah k ah n uw,ABA,Arabic
73,L2_arctic_WAV/ABA_arctic_a0104,sh iy w ao z s l iy p ih ng ah n d er hh ih z p er t eh k sh ah n ae z s w iy t l iy ae z ah ch ay l d,sh iy w ao z s l iy b ih ng k ah n d er hh ih z p er t eh k sh ah n ae z s w iy t l iy ae z ah ch ay l d,ABA,Arabic
74,L2_arctic_WAV/ABA_arctic_a0105,ow n l iy ih t ih z s ow w ah n d er f ah l s ow ao l m ow s t ih m p aa s ah b ah l t uw b ih l iy v,ow n iy ih t ih z s ow w ah n d er f ah l s ow ao l m ow s t ih m p ow s ah b ah l t uw p ih l iy f,ABA,Arabic
75,L2_arctic_WAV/ABA_arctic_a0106,dh ah ih m ow sh ah n w ih ch sh iy hh ae d s ah p r eh s t b er s t f ao r th n aw ih n ah ch ow k ih ng s aa b,dh ah ih m ow sh ah n w ih ch sh iy hh ae d s ah p r eh s t p er s t f ao r th n aw ih n ah ch ow k ih ng s ow b,ABA,Arabic
76,L2_arctic_WAV/ABA_arctic_a0107,ih f y uw ow n l iy k uh d n ow hh aw ay th ae ng k y uw,ih f y uw ow n iy k uh d n ow hh aw ay th ae ng k y uw,ABA,Arabic
77,L2_arctic_WAV/ABA_arctic_a0108,hh iy w ey d ih d ih n t uw dh ah eh jh ah v dh ah w ao t er ah n d b ih g ae n s k r ah b ih ng hh ih m s eh l f,hh iy w ey d ih d ih n t uw dh ah eh jh ah v dh ah w ow t er ah n d b ih g ae n s k r ah b ih ng k hh ih m s eh l f,ABA,Arabic
78,L2_arctic_WAV/ABA_arctic_a0109,d uw y uw n ow dh ae t y uw aa r sh ey k ih ng m ay k aa n f ah d ah n s ih n y uw,d uw y uw n ow dh ae t y uw aa r sh ey k ih ng k m ay k ow n f ah d ah n s ih n y uw,ABA,Arabic
79,L2_arctic_WAV/ABA_arctic_a0111,ih n s t eh d hh iy jh oy n d hh er ah n d dh ey ey t l ay k t uw hh ah ng g r iy ch ih l d r ah n,ih s t eh d hh iy zh oy n d hh err ah n d dh ey ey t l ay k t uw hh ah n g r iy ch eh l d r ah n,ABA,Arabic
80,L2_arctic_WAV/ABA_arctic_a0112,hh iy w aa z w uw n d ah d ih n dh ah aa r m,hh iy w aa z w ao n d ah d ih n dh ah ao r m,ABA,Arabic
81,L2_arctic_WAV/ABA_arctic_a0113,ay s ah p ow z y uw p ih k t dh ae t l ih ng g ow ah p ah m ah ng dh ah ih n d iy ah n z,ay s ah b ow z y uw b ih k t dh ae t l ih ng g ow ah p ah m ah ng k dh ah ih n d iy ah n z,ABA,Arabic
82,L2_arctic_WAV/ABA_arctic_a0115,hh iy hh ae d n ow ih k s k y uw z f ao r dh ah f iy l ih ng z w ih ch w er er aw z d ih n hh ih m,hh iy hh ae d n ow ih k s ih k y uw z f ao r dh ah f iy l ih ng z w ih ch w err er ow z d ih n hh ih m,ABA,Arabic
83,L2_arctic_WAV/ABA_arctic_a0116,w aa z ih t dh ah r aa n d ih v uw ah v dh ow z hh uw w er s t r ay v ih ng t ah w er k hh ih z r uw ah n,w aa z eh t dh ah r eh n d ih v uw ah v dh ow z hh uw w err s t r ay v ih ng k t ah w er k hh eh z r uw ah n,ABA,Arabic
84,L2_arctic_WAV/ABA_arctic_a0117,sh iy ae d ih d w ih dh jh eh n y ah w ah n s ih m p ah th iy ih n hh er f ey s ae n d v oy s,sh iy ae d ih d w ih dh jh eh n y ah n s ih m p th iy ih n hh err f ey s ae n d ah v oy s,ABA,Arabic
85,L2_arctic_WAV/ABA_arctic_a0120,m ay r ay t f uh t f iy l z l ay k dh ae t ah v ah ch ay n iy z d eh b y ah t aa n t,m ay r ay t f ow t f iy err z l ay k dh ae t ah v ah ch ay n iy z d eh b y ah t aa n t,ABA,Arabic
86,L2_arctic_WAV/ABA_arctic_a0121,dh ey ey t d ih n er ae t dh ah f ih f th ah n d r eh s t ih d f ao r t uw aw r z,dh ey ey t d ih n er ae t dh eh f ih f th ah n d r eh s t ih d f ao r t uw aw r s,ABA,Arabic
87,L2_arctic_WAV/ABA_arctic_a0122,t uw y iy er z ah g ow ay g ey v ah p s ih v ah l ih z ey sh ah n f ao r dh ih s,t uw y iy r z ah g ow ay g ey v ah p s ih v ah l ih z ey sh ah n f ao r dh ih th,ABA,Arabic
88,L2_arctic_WAV/ABA_arctic_a0123,sh iy hh ae d d ay d f r ah m k ow l d ae n d s t aa r v ey sh ah n,sh iy hh ae d d ay d f r ah m k ow l d ae n d s t aa r v ey sh ah n,ABA,Arabic
89,L2_arctic_WAV/ABA_arctic_a0125,hh iy w aa z d ih t er m ah n d n aw t uw m ey n t ey n ah m ao r s er t ah n hh ow l d ah p aa n hh ih m s eh l f,hh iy w aa z d ih t er m ah n d ah n aw t uw m ey n t ey n ah m ao r s err t ah n ow l d ah p aa n hh eh m s eh l f,ABA,Arabic
90,L2_arctic_WAV/ABA_arctic_a0126,iy ch d ey sh iy b iy k ey m ah m ao r v ay t ah l p aa r t ah v hh ih m,eh ch d ey sh iy b iy k ey m ah m ao r v ay t ah err p aa r t ah v hh eh m,ABA,Arabic
91,L2_arctic_WAV/ABA_arctic_a0127,ih t w aa z ah t eh m t ey sh ah n b ah t hh iy r iy z ih s t ih d ih t,ih t w aa z ah t eh m b ah t ey sh ah n b ah t hh iy r iy s ih s t ih d eh t,ABA,Arabic
92,L2_arctic_WAV/ABA_arctic_a0128,dh ih s w ah n hh ow p w ao z d ih s t r oy d ae z k w ih k l iy ae z ih t w ao z b ao r n,z ih s w ah n hh ow p w ao z d ih s t r oy d ae z k w ih k l iy ae z ih t w ao z p ao r,ABA,Arabic
93,L2_arctic_WAV/ABA_arctic_a0129,hh er f ey s w ao z ah g ey n s t hh ih z b r eh s t,hh err f ey s w ao z ah g ey n ah s t hh ih z p r eh s t,ABA,Arabic
94,L2_arctic_WAV/ABA_arctic_a0130,sh iy w ao z hh ih z n aw f er eh v er,sh iy w ao z hh ih z n aw f er eh v ah,ABA,Arabic
95,L2_arctic_WAV/ABA_arctic_a0131,p r aa v ah d ah n s hh ae d d ih l ih v er d hh ih m th r uw dh ah m ey l s t r ah m,b r ow v ah d ah n s hh ae d d ih l eh v er d hh ih m th r uw dh ah m ey err ah s t ao r m,ABA,Arabic
96,L2_arctic_WAV/ABA_arctic_a0134,hh iy ow b ey d dh ah p r eh sh er ah v hh er hh ae n d,hh iy ow p ey d dh ah p r eh sh er ah v hh err hh ae n t,ABA,Arabic
97,L2_arctic_WAV/ABA_arctic_a0136,ah b aw t hh ih m eh v r iy w eh r w er dh ah eh v ah d ah n s ah z ah v l ah g zh er iy ah n d ah v ey jh,ah b aw t hh eh m eh v r iy w eh r w err dh ah eh v ah d ah n s ah v l ah g sh er iy ah n d ah v eh ch,ABA,Arabic
98,L2_arctic_WAV/ABA_arctic_a0137,dh eh n hh iy s t eh p t b ae k w ih dh ah l ow k r ay ah v p l eh zh er,z eh n hh iy s t eh p d ah b ae k w ih dh ah l ow k r ay ah v p l eh zh ah,ABA,Arabic
99,L2_arctic_WAV/ABA_arctic_a0139,hh iy t ow l d hh ih m s eh l f dh ae t ae z hh iy w aa sh t hh ih m s eh l f ah n d g r uw m d hh ih z d ih sh eh v ah l d k l ow dh z,hh iy t ow l d hh ih m s eh l f ah dh ae t ae z hh iy w ow zh d hh ih m s eh l f ah n d g r uw m d hh ih z d ih sh eh v ah err d k l ow dh ah s,ABA,Arabic
100,L2_arctic_WAV/ABA_arctic_a0159,dh ey l uh k ae z dh ow hh iy hh ae d b ih n d r ah m ih ng ah p iy ae n ow ao l hh ih z l ay f,z ey l uh k ae z s ow hh iy hh ae d b ih n d r ah m ih ng k ah p iy ae n ow ao l hh ih z l ay f,ABA,Arabic
101,L2_arctic_WAV/ABA_arctic_a0214,b ih s ay d z hh iy w ao z p ey d w ah n k ey s ah v t ah b ae k ow p er hh eh d,b ih s ay d z hh iy w ao z b ey d w ah n k ey s ow f t ah b ae k ow b err hh eh t,ABA,Arabic
102,L2_arctic_WAV/ABA_arctic_a0257,dh ey aa r k ah m ih ng ah sh ao r hh uw eh v er dh ey aa r,dh ey aa err k ah m ih ng g ah sh ao r hh uw eh v ah dh ey aa r,ABA,Arabic
103,L2_arctic_WAV/ABA_arctic_a0300,f r ah m m ay er l iy ah s t r eh k ah l eh k sh ah n m ay s l iy p w ao z ah p ih r iy ah d ah v t eh r er,f err ah m m ay er l ah s t r iy k ah l eh k sh ah n m ay s l iy p w ao z ah p er r iy ah d ah v t eh r er,ABA,Arabic
104,L2_arctic_WAV/ABA_arctic_a0379,hh aw ow l d aa r y uw d ae d iy,hh aw ow l d aa r y uw d ae d iy,ABA,Arabic
105,L2_arctic_WAV/ABA_arctic_a0426,dh ey d ow n n ow dh ah l eh ng th ah v t ay m ah v ih ng k y uw b ey sh ah n,dh ey d ow n n ow dh ah l eh n s ah v d ay m ah v ih ng k uw b ey sh ah n,ABA,Arabic
106,L2_arctic_WAV/ABA_arctic_a0441,v ay l ah n t l ay f ah n d ae th l eh t ih k s p ao r t s hh ae d n eh v er ah p iy l d t uw m iy,v ay l ah n t l ay f ah n d ae th ah l eh t ih k s p ao r t s hh ae d n eh v er ah b iy err d t uw m iy,ABA,Arabic
